UNIX_TS,EBE,FGE,TVE,Hour,Season,WOE
0.5241184,1.0,1.0,0.0,0.5652174,0.33333334,0.0
0.9765911,0.0,1.0,0.0,0.826087,0.0,1.0
0.021007538,0.0,0.0,0.0,0.3478261,0.33333334,0.0
0.6812229,0.0,1.0,0.0,0.21739131,0.6666667,0.0
0.3059864,1.0,0.0,0.0,0.3478261,0.6666667,1.0
0.5672188,1.0,0.0,0.0,0.0,0.33333334,0.0
0.27053642,1.0,1.0,0.0,0.47826087,0.6666667,1.0
0.065820694,0.0,1.0,0.0,0.04347826,0.33333334,1.0
0.38921928,1.0,1.0,0.0,0.08695652,0.0,0.0
0.5222912,1.0,0.0,0.0,0.21739131,0.33333334,0.0
0.24627304,1.0,0.0,0.0,0.7826087,0.6666667,1.0
0.78295326,0.0,1.0,0.0,0.47826087,0.6666667,1.0
0.3972702,1.0,0.0,0.0,1.0,0.0,1.0
0.78837585,0.0,0.0,0.0,0.43478262,0.6666667,0.0
0.11491585,0.0,0.0,0.0,0.9130435,0.33333334,1.0
0.14933968,0.0,0.0,0.0,0.0,0.33333334,0.0
0.7530956,0.0,0.0,0.0,0.6956522,0.6666667,1.0
0.76828,0.0,1.0,0.0,0.7826087,0.6666667,0.0
0.54535484,1.0,0.0,0.0,0.04347826,0.33333334,0.0
0.5889702,1.0,0.0,1.0,0.9130435,0.33333334,0.0
0.6167717,1.0,0.0,0.0,0.17391305,0.33333334,0.0
0.010559082,0.0,0.0,0.0,0.73913044,0.33333334,1.0
0.27698708,1.0,0.0,0.0,0.17391305,0.6666667,1.0
0.61979675,1.0,1.0,0.0,0.39130434,0.33333334,0.0
0.5589981,1.0,0.0,0.0,0.0,0.33333334,0.0
0.28720665,1.0,1.0,1.0,0.65217394,0.6666667,1.0
0.40686035,1.0,0.0,0.0,1.0,0.0,0.0
0.77490425,0.0,0.0,1.0,0.6086957,0.6666667,0.0
0.7447052,0.0,1.0,0.0,0.5652174,0.6666667,1.0
0.31066895,1.0,0.0,0.0,0.7826087,0.6666667,1.0
0.8947296,0.0,1.0,0.0,0.04347826,0.0,0.0
0.79437065,0.0,0.0,0.0,0.826087,0.6666667,1.0
0.97208405,0.0,0.0,0.0,0.5217391,0.0,0.0
0.6116333,1.0,0.0,0.0,0.43478262,0.33333334,1.0
0.033851624,0.0,0.0,0.0,0.73913044,0.33333334,1.0
0.26037407,1.0,1.0,0.0,0.04347826,0.6666667,1.0
0.4078884,1.0,1.0,0.0,0.73913044,0.0,1.0
0.32088852,1.0,0.0,0.0,0.21739131,0.6666667,1.0
0.058742523,0.0,1.0,0.0,0.9130435,0.33333334,1.0
0.51669884,1.0,0.0,0.0,0.13043478,0.33333334,1.0
0.22412491,1.0,0.0,0.0,0.6086957,0.6666667,0.0
0.77381897,0.0,0.0,0.0,0.826087,0.6666667,1.0
0.55368996,1.0,0.0,0.0,0.13043478,0.33333334,1.0
0.030771255,0.0,0.0,0.0,0.47826087,0.33333334,0.0
0.48952293,1.0,1.0,0.0,0.30434784,0.0,1.0
0.36513138,1.0,0.0,0.0,0.5217391,1.0,1.0
0.3540535,1.0,1.0,0.0,0.43478262,1.0,1.0
0.70360184,0.0,1.0,0.0,0.5652174,0.6666667,1.0
0.6763706,0.0,0.0,0.0,0.6956522,0.6666667,0.0
0.36769867,1.0,1.0,0.0,0.39130434,1.0,1.0
0.82930756,0.0,0.0,0.0,0.30434784,0.6666667,0.0
0.13192749,0.0,0.0,0.0,0.30434784,0.33333334,1.0
0.4127407,1.0,0.0,0.0,0.26086956,0.0,0.0
0.32357216,1.0,0.0,0.0,0.17391305,0.6666667,0.0
0.7936287,0.0,0.0,0.0,0.26086956,0.6666667,0.0
0.648798,0.0,0.0,0.0,0.5652174,0.33333334,0.0
0.19729233,1.0,0.0,0.0,0.0,0.6666667,1.0
0.29730988,1.0,0.0,0.0,0.0,0.6666667,1.0
0.32585526,1.0,0.0,0.0,0.86956525,0.6666667,1.0
0.9126549,0.0,1.0,0.0,0.13043478,0.0,0.0
0.63013077,0.0,1.0,0.0,0.95652175,0.33333334,1.0
0.3671856,1.0,0.0,0.0,0.0,1.0,1.0
0.31363678,1.0,0.0,1.0,0.95652175,0.6666667,1.0
0.23765564,1.0,0.0,0.0,0.47826087,0.6666667,1.0
0.10081673,0.0,0.0,0.0,0.6086957,0.33333334,1.0
0.8267975,0.0,1.0,0.0,0.47826087,0.6666667,1.0
0.6546211,0.0,0.0,0.0,0.826087,0.33333334,1.0
0.8013916,0.0,0.0,1.0,0.95652175,0.6666667,1.0
0.8005352,0.0,1.0,0.0,0.30434784,0.6666667,0.0
0.026601791,0.0,1.0,0.0,0.43478262,0.33333334,1.0
0.6494255,0.0,1.0,0.0,0.0,0.33333334,0.0
0.06838989,0.0,0.0,0.0,0.95652175,0.33333334,1.0
0.24033546,1.0,0.0,0.0,0.43478262,0.6666667,1.0
0.41827774,1.0,0.0,0.0,0.30434784,0.0,1.0
0.41770744,1.0,0.0,1.0,0.9130435,0.0,0.0
0.9777336,0.0,0.0,0.0,0.65217394,0.0,1.0
0.82868004,0.0,1.0,0.0,0.86956525,0.6666667,0.0
