UNIX_TS,EBE,TVE,Month,Season,FRE
0.021009445,0.0,0.0,0.27272728,0.33333334,0.0
0.7042694,0.0,0.0,0.6363636,0.6666667,1.0
0.9408531,0.0,0.0,0.09090909,0.0,1.0
0.5671959,1.0,0.0,0.36363637,0.33333334,0.0
0.8980942,0.0,0.0,0.0,0.0,0.0
0.06582451,0.0,0.0,0.36363637,0.33333334,0.0
0.5073643,1.0,0.0,0.27272728,0.33333334,0.0
0.7216244,0.0,0.0,0.72727275,0.6666667,1.0
0.2462902,1.0,0.0,0.72727275,0.6666667,0.0
0.3689766,1.0,0.0,1.0,1.0,0.0
0.39712334,1.0,1.0,0.0,0.0,1.0
0.78824997,0.0,0.0,0.8181819,0.6666667,0.0
0.11492348,0.0,0.0,0.45454547,0.33333334,0.0
0.14934921,0.0,0.0,0.5454545,0.33333334,0.0
0.99212265,0.0,0.0,0.18181819,0.0,0.0
0.5960827,1.0,0.0,0.45454547,0.33333334,0.0
0.54533005,1.0,0.0,0.36363637,0.33333334,0.0
0.95147324,0.0,0.0,0.09090909,0.0,1.0
0.6166935,1.0,0.0,0.45454547,0.33333334,0.0
0.010560989,0.0,0.0,0.27272728,0.33333334,0.0
0.27683258,1.0,0.0,0.8181819,0.6666667,0.0
0.7256794,0.0,0.0,0.72727275,0.6666667,1.0
0.5589733,1.0,0.0,0.36363637,0.33333334,0.0
0.6747551,0.0,0.0,0.6363636,0.6666667,0.0
0.9765911,0.0,0.0,0.18181819,0.0,0.0
0.47385216,1.0,1.0,0.18181819,0.0,1.0
0.28465462,1.0,0.0,0.8181819,0.6666667,0.0
0.31051636,1.0,0.0,0.9090909,0.6666667,1.0
0.718771,0.0,0.0,0.72727275,0.6666667,1.0
0.4605503,1.0,0.0,0.18181819,0.0,1.0
0.49451828,1.0,0.0,0.18181819,0.0,0.0
0.6115551,1.0,0.0,0.45454547,0.33333334,0.0
0.03385353,0.0,0.0,0.27272728,0.33333334,0.0
0.29789925,1.0,0.0,0.9090909,0.6666667,0.0
