UNIX_TS,CWE,DWE,FGE,TVE,Month,FRE
0.5241184,0.0,0.0,1.0,0.0,0.27272728,1.0
0.9765911,0.0,0.0,1.0,0.0,0.18181819,1.0
0.021007538,0.0,0.0,0.0,0.0,0.27272728,1.0
0.6812229,0.0,0.0,1.0,0.0,0.6363636,1.0
0.3059864,0.0,0.0,0.0,0.0,0.9090909,1.0
0.5672188,0.0,0.0,0.0,0.0,0.36363637,1.0
0.27053642,0.0,0.0,1.0,0.0,0.8181819,1.0
0.065820694,0.0,0.0,1.0,0.0,0.36363637,1.0
0.38921928,0.0,0.0,1.0,0.0,0.0,1.0
0.5222912,0.0,0.0,0.0,0.0,0.27272728,1.0
0.24627304,0.0,0.0,0.0,0.0,0.72727275,1.0
0.78295326,0.0,0.0,1.0,0.0,0.8181819,1.0
0.3972702,0.0,0.0,0.0,0.0,0.0,1.0
0.78837585,0.0,1.0,0.0,0.0,0.8181819,1.0
0.11491585,0.0,0.0,0.0,0.0,0.45454547,1.0
0.14933968,0.0,0.0,0.0,0.0,0.5454545,1.0
0.7530956,0.0,0.0,0.0,0.0,0.8181819,1.0
0.76828,0.0,0.0,1.0,0.0,0.8181819,1.0
0.54535484,0.0,0.0,0.0,0.0,0.36363637,1.0
0.5889702,0.0,0.0,0.0,1.0,0.45454547,1.0
0.6167717,0.0,0.0,0.0,0.0,0.45454547,1.0
0.010559082,0.0,0.0,0.0,0.0,0.27272728,1.0
0.27698708,0.0,0.0,0.0,0.0,0.8181819,1.0
0.61979675,0.0,1.0,1.0,0.0,0.45454547,1.0
0.5589981,0.0,0.0,0.0,0.0,0.36363637,1.0
0.28720665,0.0,0.0,1.0,1.0,0.8181819,1.0
0.40686035,0.0,0.0,0.0,0.0,0.0,1.0
0.77490425,0.0,0.0,0.0,1.0,0.8181819,1.0
0.7447052,0.0,1.0,1.0,0.0,0.72727275,1.0
0.31066895,0.0,0.0,0.0,0.0,0.9090909,1.0
0.8947296,0.0,0.0,1.0,0.0,0.0,1.0
0.79437065,0.0,0.0,0.0,0.0,0.9090909,1.0
0.97208405,0.0,0.0,0.0,0.0,0.18181819,1.0
0.6116333,0.0,1.0,0.0,0.0,0.45454547,1.0
0.033851624,0.0,0.0,0.0,0.0,0.27272728,1.0
