UNIX_TS,DWE,HPE,FGE,TVE,Weekday,FRE
0.5241184,0.0,1.0,1.0,0.0,0.5,1.0
0.9765911,0.0,0.0,1.0,0.0,0.6666667,1.0
0.021007538,0.0,0.0,0.0,0.0,0.0,1.0
0.6812229,0.0,0.0,1.0,0.0,1.0,1.0
0.3059864,0.0,0.0,0.0,0.0,0.8333334,1.0
0.5672188,0.0,0.0,0.0,0.0,0.0,1.0
0.27053642,0.0,0.0,1.0,0.0,0.0,1.0
0.065820694,0.0,0.0,1.0,0.0,0.8333334,1.0
0.38921928,0.0,0.0,1.0,0.0,0.5,1.0
0.5222912,0.0,0.0,0.0,0.0,0.33333334,1.0
0.24627304,0.0,0.0,0.0,0.0,0.5,1.0
0.78295326,0.0,0.0,1.0,0.0,0.5,1.0
0.3972702,0.0,0.0,0.0,0.0,0.16666667,1.0
0.78837585,1.0,0.0,0.0,0.0,0.0,1.0
0.11491585,0.0,0.0,0.0,0.0,0.8333334,1.0
0.14933968,0.0,0.0,0.0,0.0,0.5,1.0
0.7530956,0.0,0.0,0.0,0.0,0.33333334,1.0
0.76828,0.0,0.0,1.0,0.0,1.0,1.0
0.54535484,0.0,0.0,0.0,0.0,0.8333334,1.0
0.5889702,0.0,0.0,0.0,1.0,0.16666667,1.0
0.6167717,0.0,0.0,0.0,0.0,0.16666667,1.0
0.010559082,0.0,0.0,0.0,0.0,1.0,1.0
0.27698708,0.0,0.0,0.0,0.0,0.8333334,1.0
0.61979675,1.0,0.0,1.0,0.0,0.5,1.0
0.5589981,0.0,0.0,0.0,0.0,0.16666667,1.0
0.28720665,0.0,0.0,1.0,1.0,0.8333334,1.0
0.40686035,0.0,0.0,0.0,0.0,0.16666667,1.0
0.77490425,0.0,0.0,0.0,1.0,0.6666667,1.0
0.7447052,1.0,0.0,1.0,0.0,0.5,1.0
0.31066895,0.0,0.0,0.0,0.0,0.16666667,1.0
0.8947296,0.0,0.0,1.0,0.0,0.16666667,1.0
0.79437065,0.0,0.0,0.0,0.0,0.6666667,1.0
0.97208405,0.0,0.0,0.0,0.0,0.16666667,1.0
0.6116333,1.0,0.0,0.0,0.0,0.6666667,1.0
0.033851624,0.0,0.0,0.0,0.0,0.33333334,1.0
0.26037407,0.0,0.0,1.0,0.0,0.0,1.0
0.4078884,0.0,0.0,1.0,0.0,0.33333334,1.0
0.32088852,0.0,0.0,0.0,0.0,0.33333334,1.0
0.058742523,0.0,0.0,1.0,0.0,1.0,1.0
0.51669884,0.0,0.0,0.0,0.0,0.8333334,1.0
0.22412491,0.0,0.0,0.0,0.0,0.16666667,1.0
0.77381897,1.0,0.0,0.0,0.0,0.5,1.0
0.55368996,0.0,0.0,0.0,0.0,0.6666667,1.0
0.030771255,1.0,0.0,0.0,0.0,0.0,1.0
0.48952293,0.0,0.0,1.0,0.0,1.0,1.0
0.36513138,0.0,0.0,0.0,0.0,1.0,1.0
0.3540535,0.0,0.0,1.0,0.0,0.8333334,1.0
0.70360184,0.0,0.0,1.0,0.0,0.16666667,1.0
0.6763706,0.0,0.0,0.0,0.0,0.33333334,1.0
0.36769867,0.0,0.0,1.0,0.0,0.16666667,1.0
0.82930756,0.0,0.0,0.0,0.0,0.33333334,1.0
0.13192749,0.0,0.0,0.0,0.0,0.6666667,1.0
0.4127407,0.0,0.0,0.0,0.0,1.0,1.0
0.32357216,0.0,0.0,0.0,0.0,0.6666667,1.0
0.7936287,0.0,1.0,0.0,0.0,0.6666667,1.0
0.648798,0.0,0.0,0.0,0.0,0.5,1.0
0.19729233,0.0,0.0,0.0,0.0,0.5,1.0
