UNIX_TS,CWE,DWE,FRE,HPE,WOE,EBE
1366322300.0,0.0,0.0,1.0,1.0,0.0,1.0
1394855800.0,0.0,0.0,1.0,0.0,1.0,0.0
1334595500.0,0.0,0.0,1.0,0.0,0.0,0.0
1376229500.0,0.0,0.0,1.0,0.0,0.0,0.0
1352566700.0,0.0,0.0,1.0,0.0,1.0,1.0
1369040300.0,0.0,0.0,1.0,0.0,0.0,1.0
1350331100.0,0.0,0.0,1.0,0.0,1.0,1.0
1337421400.0,0.0,0.0,1.0,0.0,1.0,0.0
1357815400.0,0.0,0.0,1.0,0.0,0.0,1.0
1366207100.0,0.0,0.0,1.0,0.0,0.0,1.0
1348801000.0,0.0,0.0,1.0,0.0,1.0,1.0
1382644700.0,0.0,0.0,1.0,0.0,1.0,0.0
1358323100.0,0.0,0.0,1.0,0.0,1.0,1.0
1382986600.0,0.0,1.0,1.0,0.0,0.0,0.0
1340517500.0,0.0,0.0,1.0,0.0,1.0,0.0
1342688300.0,0.0,0.0,1.0,0.0,0.0,0.0
1380761900.0,0.0,0.0,1.0,0.0,1.0,0.0
1381719400.0,0.0,0.0,1.0,0.0,0.0,0.0
1367661400.0,0.0,0.0,1.0,0.0,0.0,1.0
1370411900.0,0.0,0.0,1.0,0.0,0.0,1.0
1372165100.0,0.0,0.0,1.0,0.0,0.0,1.0
1333936600.0,0.0,0.0,1.0,0.0,1.0,0.0
1350737900.0,0.0,0.0,1.0,0.0,1.0,1.0
1372355800.0,0.0,1.0,1.0,0.0,0.0,1.0
1368521900.0,0.0,0.0,1.0,0.0,0.0,1.0
1351382300.0,0.0,0.0,1.0,0.0,1.0,1.0
1358927900.0,0.0,0.0,1.0,0.0,0.0,1.0
1382137100.0,0.0,0.0,1.0,0.0,0.0,0.0
1380232700.0,0.0,1.0,1.0,0.0,1.0,0.0
1352861800.0,0.0,0.0,1.0,0.0,1.0,1.0
1389693400.0,0.0,0.0,1.0,0.0,0.0,0.0
1383364700.0,0.0,0.0,1.0,0.0,1.0,0.0
1394571500.0,0.0,0.0,1.0,0.0,0.0,0.0
1371841000.0,0.0,1.0,1.0,0.0,1.0,1.0
1335405400.0,0.0,0.0,1.0,0.0,1.0,0.0
1349690200.0,0.0,0.0,1.0,0.0,1.0,1.0
1358992600.0,0.0,0.0,1.0,0.0,1.0,1.0
1353506300.0,0.0,0.0,1.0,0.0,1.0,1.0
1336975100.0,0.0,0.0,1.0,0.0,1.0,0.0
1365854300.0,0.0,0.0,1.0,0.0,1.0,1.0
1347404300.0,0.0,0.0,1.0,0.0,0.0,1.0
1382068700.0,0.0,1.0,1.0,0.0,1.0,0.0
1368187100.0,0.0,0.0,1.0,0.0,1.0,1.0
