UNIX_TS,DWE,HPE,FGE,HTE,TVE,Hour,Weekday,FRE
0.5241184,0.0,1.0,1.0,1.0,0.0,0.5652174,0.5,1.0
0.9765911,0.0,0.0,1.0,1.0,0.0,0.826087,0.6666667,1.0
0.021007538,0.0,0.0,0.0,1.0,0.0,0.3478261,0.0,1.0
0.6812229,0.0,0.0,1.0,1.0,0.0,0.21739131,1.0,1.0
0.3059864,0.0,0.0,0.0,1.0,0.0,0.3478261,0.8333334,1.0
0.5672188,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
0.27053642,0.0,0.0,1.0,1.0,0.0,0.47826087,0.0,1.0
0.065820694,0.0,0.0,1.0,1.0,0.0,0.04347826,0.8333334,1.0
0.38921928,0.0,0.0,1.0,1.0,0.0,0.08695652,0.5,1.0
0.5222912,0.0,0.0,0.0,1.0,0.0,0.21739131,0.33333334,1.0
0.24627304,0.0,0.0,0.0,1.0,0.0,0.7826087,0.5,1.0
0.78295326,0.0,0.0,1.0,1.0,0.0,0.47826087,0.5,1.0
0.3972702,0.0,0.0,0.0,1.0,0.0,1.0,0.16666667,1.0
0.78837585,1.0,0.0,0.0,1.0,0.0,0.43478262,0.0,1.0
0.11491585,0.0,0.0,0.0,0.0,0.0,0.9130435,0.8333334,1.0
0.14933968,0.0,0.0,0.0,1.0,0.0,0.0,0.5,1.0
0.7530956,0.0,0.0,0.0,1.0,0.0,0.6956522,0.33333334,1.0
0.76828,0.0,0.0,1.0,1.0,0.0,0.7826087,1.0,1.0
0.54535484,0.0,0.0,0.0,1.0,0.0,0.04347826,0.8333334,1.0
0.5889702,0.0,0.0,0.0,1.0,1.0,0.9130435,0.16666667,1.0
0.6167717,0.0,0.0,0.0,1.0,0.0,0.17391305,0.16666667,1.0
0.010559082,0.0,0.0,0.0,1.0,0.0,0.73913044,1.0,1.0
0.27698708,0.0,0.0,0.0,1.0,0.0,0.17391305,0.8333334,1.0
0.61979675,1.0,0.0,1.0,1.0,0.0,0.39130434,0.5,1.0
0.5589981,0.0,0.0,0.0,1.0,0.0,0.0,0.16666667,1.0
0.28720665,0.0,0.0,1.0,1.0,1.0,0.65217394,0.8333334,1.0
0.40686035,0.0,0.0,0.0,1.0,0.0,1.0,0.16666667,1.0
