UNIX_TS,CWE,FRE,WOE,EBE,Hour,Weekday,Month,CDE
0.021009445,0.0,0.0,0.0,0.0,0.39130434,0.0,0.27272728,0.0
0.7042694,0.0,1.0,0.0,0.0,0.04347826,0.33333334,0.6363636,0.0
0.9408531,1.0,1.0,0.0,0.0,0.73913044,1.0,0.09090909,1.0
0.5671959,0.0,0.0,0.0,1.0,0.0,0.0,0.36363637,0.0
0.8980942,0.0,0.0,0.0,0.0,0.5217391,0.5,0.0,0.0
0.06582451,0.0,0.0,0.0,0.0,0.08695652,0.8333334,0.36363637,0.0
0.5073643,0.0,0.0,0.0,1.0,0.3478261,0.8333334,0.27272728,0.0
0.7216244,0.0,1.0,0.0,0.0,0.73913044,0.0,0.72727275,0.0
0.2462902,0.0,0.0,0.0,1.0,0.826087,0.5,0.72727275,0.0
0.3689766,0.0,0.0,0.0,1.0,0.3478261,0.33333334,1.0,0.0
0.39712334,0.0,1.0,0.0,1.0,0.9130435,0.16666667,0.0,0.0
0.78824997,0.0,0.0,0.0,0.0,0.3478261,0.0,0.8181819,0.0
0.11492348,0.0,0.0,0.0,0.0,0.95652175,0.8333334,0.45454547,0.0
0.14934921,0.0,0.0,0.0,0.0,0.04347826,0.5,0.5454545,0.0
0.99212265,0.0,0.0,0.0,0.0,0.13043478,0.33333334,0.18181819,0.0
0.5960827,0.0,0.0,0.0,1.0,0.08695652,0.0,0.45454547,0.0
0.54533005,0.0,0.0,0.0,1.0,0.04347826,0.8333334,0.36363637,0.0
0.95147324,0.0,1.0,0.0,0.0,0.47826087,0.0,0.09090909,0.0
0.6166935,0.0,0.0,0.0,1.0,0.13043478,0.16666667,0.45454547,0.0
0.010560989,0.0,0.0,0.0,0.0,0.7826087,1.0,0.27272728,0.0
0.27683258,0.0,0.0,0.0,1.0,0.08695652,0.8333334,0.8181819,0.0
0.7256794,0.0,1.0,0.0,0.0,0.6956522,0.5,0.72727275,0.0
0.5589733,0.0,0.0,0.0,1.0,0.0,0.16666667,0.36363637,0.0
0.6747551,0.0,0.0,0.0,0.0,0.5217391,0.16666667,0.6363636,0.0
0.9765911,0.0,0.0,0.0,0.0,0.826087,0.6666667,0.18181819,0.0
0.47385216,0.0,1.0,0.0,1.0,0.9130435,0.16666667,0.18181819,0.0
0.28465462,0.0,0.0,0.0,1.0,0.826087,0.5,0.8181819,0.0
0.31051636,0.0,1.0,0.0,1.0,0.6956522,0.16666667,0.9090909,0.0
0.718771,1.0,1.0,0.0,0.0,0.65217394,0.8333334,0.72727275,0.0
0.4605503,0.0,1.0,0.0,1.0,0.17391305,1.0,0.18181819,0.0
0.49451828,0.0,0.0,0.0,1.0,1.0,0.33333334,0.18181819,0.0
0.6115551,0.0,0.0,0.0,1.0,0.39130434,0.6666667,0.45454547,0.0
0.03385353,0.0,0.0,0.0,0.0,0.7826087,0.33333334,0.27272728,0.0
0.29789925,0.0,0.0,0.0,1.0,0.47826087,1.0,0.9090909,0.0
0.6295395,0.0,0.0,0.0,0.0,0.5217391,0.5,0.5454545,0.0
0.32073593,0.0,0.0,0.0,1.0,0.13043478,0.33333334,0.9090909,0.0
0.058746338,0.0,0.0,0.0,0.0,0.95652175,1.0,0.36363637,0.0
0.44319534,0.0,0.0,0.0,1.0,0.5217391,0.0,0.09090909,0.0
0.22413826,0.0,0.0,0.0,1.0,0.65217394,0.16666667,0.72727275,0.0
0.7557087,0.0,0.0,0.0,0.0,0.6086957,0.6666667,0.8181819,0.0
0.46129227,0.0,0.0,0.0,1.0,0.73913044,1.0,0.18181819,0.0
0.030773163,0.0,0.0,0.0,0.0,0.5217391,0.0,0.27272728,0.0
0.79047585,0.0,0.0,0.0,0.0,1.0,0.16666667,0.8181819,0.0
0.2600479,0.0,0.0,0.0,1.0,0.86956525,1.0,0.8181819,0.0
0.7688408,0.0,0.0,0.0,0.0,0.17391305,0.0,0.8181819,0.0
0.6333065,0.0,0.0,0.0,0.0,0.26086956,1.0,0.5454545,0.0
0.67629623,0.0,0.0,0.0,0.0,0.65217394,0.33333334,0.6363636,0.0
0.43777084,0.0,0.0,0.0,1.0,0.5652174,0.5,0.09090909,0.0
