UNIX_TS,CWE,DWE,FRE,HPE,WOE,CDE,EBE,HTE,TVE,Hour,Weekday,Month,Season,FGE
1381089500.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,11.0,6.0,10.0,2.0,0.0
1366322300.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,13.0,3.0,4.0,1.0,1.0
1394855800.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,19.0,4.0,3.0,0.0,1.0
1334595500.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,8.0,0.0,4.0,1.0,0.0
1376229500.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,6.0,8.0,2.0,1.0
1352566700.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,8.0,5.0,11.0,2.0,0.0
1369040300.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,5.0,1.0,0.0
1350331100.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,11.0,0.0,10.0,2.0,1.0
1337421400.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,5.0,5.0,1.0,1.0
1357815400.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,3.0,1.0,0.0,1.0
1366207100.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,5.0,2.0,4.0,1.0,0.0
1348801000.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,18.0,3.0,9.0,2.0,0.0
1382644700.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,11.0,3.0,10.0,2.0,1.0
1358323100.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,23.0,1.0,1.0,0.0,0.0
1382986600.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,10.0,0.0,10.0,2.0,0.0
1340517500.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,21.0,5.0,6.0,1.0,0.0
1342688300.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,7.0,1.0,0.0
1380761900.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,16.0,2.0,10.0,2.0,0.0
1381719400.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,18.0,6.0,10.0,2.0,1.0
1367661400.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,5.0,5.0,1.0,0.0
1370411900.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,21.0,1.0,6.0,1.0,0.0
1372165100.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,4.0,1.0,6.0,1.0,0.0
1333936600.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,17.0,6.0,4.0,1.0,0.0
1350737900.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,4.0,5.0,10.0,2.0,0.0
1372355800.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,9.0,3.0,6.0,1.0,1.0
1368521900.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,5.0,1.0,0.0
1351382300.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,15.0,5.0,10.0,2.0,1.0
1358927900.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,23.0,1.0,1.0,0.0,0.0
1382137100.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,14.0,4.0,10.0,2.0,0.0
1380232700.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,13.0,3.0,9.0,2.0,1.0
1352861800.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,18.0,1.0,11.0,2.0,0.0
1389693400.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0
1383364700.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,19.0,4.0,11.0,2.0,0.0
1394571500.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,12.0,1.0,3.0,0.0,0.0
1371841000.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,10.0,4.0,6.0,1.0,0.0
1335405400.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,17.0,2.0,4.0,1.0,0.0
1349690200.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,10.0,2.0,1.0
