UNIX_TS,FRE,CDE,EBE,HTE,TVE,Hour,WOE
0.5241184,1.0,0.0,1.0,1.0,0.0,0.5652174,0.0
0.9765911,1.0,0.0,0.0,1.0,0.0,0.826087,1.0
0.021007538,1.0,0.0,0.0,1.0,0.0,0.3478261,0.0
0.6812229,1.0,0.0,0.0,1.0,0.0,0.21739131,0.0
0.3059864,1.0,0.0,1.0,1.0,0.0,0.3478261,1.0
0.5672188,1.0,0.0,1.0,1.0,0.0,0.0,0.0
0.27053642,1.0,0.0,1.0,1.0,0.0,0.47826087,1.0
0.065820694,1.0,0.0,0.0,1.0,0.0,0.04347826,1.0
0.38921928,1.0,0.0,1.0,1.0,0.0,0.08695652,0.0
0.5222912,1.0,0.0,1.0,1.0,0.0,0.21739131,0.0
0.24627304,1.0,0.0,1.0,1.0,0.0,0.7826087,1.0
0.78295326,1.0,0.0,0.0,1.0,0.0,0.47826087,1.0
0.3972702,1.0,0.0,1.0,1.0,0.0,1.0,1.0
0.78837585,1.0,0.0,0.0,1.0,0.0,0.43478262,0.0
0.11491585,1.0,0.0,0.0,0.0,0.0,0.9130435,1.0
0.14933968,1.0,0.0,0.0,1.0,0.0,0.0,0.0
0.7530956,1.0,0.0,0.0,1.0,0.0,0.6956522,1.0
0.76828,1.0,0.0,0.0,1.0,0.0,0.7826087,0.0
0.54535484,1.0,0.0,1.0,1.0,0.0,0.04347826,0.0
0.5889702,1.0,0.0,1.0,1.0,1.0,0.9130435,0.0
0.6167717,1.0,0.0,1.0,1.0,0.0,0.17391305,0.0
0.010559082,1.0,0.0,0.0,1.0,0.0,0.73913044,1.0
0.27698708,1.0,0.0,1.0,1.0,0.0,0.17391305,1.0
0.61979675,1.0,0.0,1.0,1.0,0.0,0.39130434,0.0
0.5589981,1.0,0.0,1.0,1.0,0.0,0.0,0.0
0.28720665,1.0,0.0,1.0,1.0,1.0,0.65217394,1.0
0.40686035,1.0,0.0,1.0,1.0,0.0,1.0,0.0
0.77490425,1.0,0.0,0.0,1.0,1.0,0.6086957,0.0
0.7447052,1.0,0.0,0.0,1.0,0.0,0.5652174,1.0
0.31066895,1.0,0.0,1.0,1.0,0.0,0.7826087,1.0
0.8947296,1.0,0.0,0.0,1.0,0.0,0.04347826,0.0
