UNIX_TS,CWE,DWE,FRE,HPE,WOE,CDE,EBE,HTE,TVE,Hour,Weekday,Month,Season,FGE
0.83369446,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5217391,0.8333334,0.9090909,0.6666667,1.0
0.021009445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39130434,0.0,0.27272728,0.33333334,1.0
0.7042694,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04347826,0.33333334,0.6363636,0.6666667,0.0
0.9408531,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.73913044,1.0,0.09090909,0.0,1.0
0.5671959,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.36363637,0.33333334,0.0
0.8980942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5217391,0.5,0.0,0.0,0.0
0.06582451,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08695652,0.8333334,0.36363637,0.33333334,0.0
0.5073643,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.3478261,0.8333334,0.27272728,0.33333334,1.0
0.7216244,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.73913044,0.0,0.72727275,0.6666667,0.0
0.2462902,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.826087,0.5,0.72727275,0.6666667,1.0
0.3689766,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.3478261,0.33333334,1.0,1.0,1.0
0.39712334,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.9130435,0.16666667,0.0,0.0,0.0
0.78824997,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3478261,0.0,0.8181819,0.6666667,0.0
0.11492348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.95652175,0.8333334,0.45454547,0.33333334,1.0
0.14934921,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04347826,0.5,0.5454545,0.33333334,0.0
0.99212265,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.13043478,0.33333334,0.18181819,0.0,0.0
0.5960827,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.08695652,0.0,0.45454547,0.33333334,1.0
0.54533005,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.04347826,0.8333334,0.36363637,0.33333334,0.0
