UNIX_TS,EBE
0.021009445,0.0
0.7042694,0.0
0.9408531,0.0
0.5671959,1.0
0.8980942,0.0
0.06582451,0.0
0.5073643,1.0
0.7216244,0.0
0.2462902,1.0
0.3689766,1.0
0.39712334,1.0
0.78824997,0.0
0.11492348,0.0
0.14934921,0.0
0.99212265,0.0
0.5960827,1.0
0.54533005,1.0
0.95147324,0.0
0.6166935,1.0
0.010560989,0.0
0.27683258,1.0
0.7256794,0.0
0.5589733,1.0
0.6747551,0.0
0.9765911,0.0
0.47385216,1.0
0.28465462,1.0
0.31051636,1.0
0.718771,0.0
0.4605503,1.0
0.49451828,1.0
0.6115551,1.0
0.03385353,0.0
0.29789925,1.0
0.6295395,0.0
0.32073593,1.0
0.058746338,0.0
0.44319534,1.0
0.22413826,1.0
0.7557087,0.0
0.46129227,1.0
0.030773163,0.0
0.79047585,0.0
0.2600479,1.0
0.7688408,0.0
0.6333065,0.0
0.67629623,0.0
0.43777084,1.0
0.34882355,1.0
0.13193703,0.0
0.8223343,0.0
0.4579239,1.0
0.7582207,0.0
0.33141136,1.0
0.19730568,1.0
0.5781574,1.0
0.31759644,1.0
0.40682793,1.0
0.6613941,0.0
0.36703682,1.0
0.5569191,1.0
0.23766899,1.0
0.10082245,0.0
0.4817314,1.0
0.3387184,1.0
0.33654976,1.0
0.8004112,0.0
0.026603699,0.0
0.68754387,0.0
0.068395615,0.0
0.24035263,1.0
0.3138256,1.0
0.33963203,1.0
0.7336731,0.0
0.9112816,0.0
0.48704147,1.0
0.48498535,1.0
0.14455414,0.0
0.9317188,0.0
0.48492813,1.0
0.22859192,1.0
0.47373962,1.0
0.91601944,0.0
0.8816509,0.0
0.11532402,0.0
0.29590034,1.0
0.8455696,0.0
0.27808762,1.0
0.84859467,0.0
0.60025215,1.0
0.23475647,1.0
0.6945648,0.0
0.11109924,0.0
0.82684326,0.0
0.8730297,0.0
0.14678001,0.0
0.2994976,1.0
0.9979439,0.0
0.775404,0.0
0.9631195,0.0
0.4596939,1.0
0.6000786,1.0
0.5486412,1.0
0.25439453,1.0
0.88113785,0.0
0.18748665,1.0
0.29156303,1.0
0.890728,0.0
0.78819275,0.0
0.5594883,1.0
0.34545708,1.0
0.8098297,0.0
0.71032333,0.0
0.91008186,0.0
0.14004326,0.0
0.07067871,0.0
0.9782467,0.0
0.11766434,0.0
0.41384888,1.0
0.18885612,1.0
0.78705215,0.0
0.58997536,1.0
0.0076503754,0.0
0.4836712,1.0
0.50588036,1.0
0.023349762,0.0
0.5852375,1.0
0.6927948,0.0
0.70923615,0.0
0.117549896,0.0
0.7522259,0.0
0.72864914,0.0
0.3509941,1.0
0.15785599,0.0
0.38393402,1.0
0.65083313,0.0
0.35738754,1.0
0.12651253,0.0
0.1738987,0.0
0.8999195,0.0
0.084667206,0.0
0.85401917,0.0
0.54767036,1.0
0.16807365,0.0
0.2597065,1.0
0.2928753,1.0
0.42344093,1.0
0.49263573,1.0
0.73321533,0.0
0.8821087,0.0
0.14552498,0.0
0.5975685,1.0
0.39546585,1.0
0.94838905,0.0
0.3881588,1.0
0.19810486,1.0
0.6576271,0.0
0.68183327,0.0
0.9547844,0.0
0.23207283,1.0
0.10613251,0.0
0.8191929,0.0
0.5789566,1.0
0.2480011,1.0
0.528944,1.0
0.41396523,1.0
0.19159698,1.0
0.88912964,0.0
0.4527874,1.0
0.8125706,0.0
0.47733307,1.0
0.35087776,1.0
0.060403824,0.0
0.94976044,0.0
0.26735687,1.0
0.53842163,1.0
0.62405777,1.0
0.04983902,0.0
0.5127888,1.0
0.22927475,1.0
0.24160767,1.0
0.30600548,1.0
0.5288868,1.0
0.3295269,1.0
0.19941711,1.0
0.6335926,0.0
0.81679535,0.0
0.30623436,1.0
0.34682655,1.0
0.7075825,0.0
0.10989952,0.0
0.94011116,0.0
0.84825325,0.0
0.077186584,0.0
0.6524887,0.0
0.30161095,1.0
0.04949951,0.0
0.19096756,1.0
0.24560356,1.0
0.9044876,0.0
0.20175934,1.0
0.1398735,0.0
0.81217,0.0
0.32827187,1.0
0.014902115,0.0
0.3729725,1.0
0.6673908,0.0
0.51786804,1.0
0.33820534,1.0
0.39792252,1.0
0.12617111,0.0
0.04761505,0.0
0.5034828,1.0
0.69039726,0.0
0.9109955,0.0
0.56456757,1.0
0.6679611,0.0
0.051324844,0.0
0.9668293,0.0
0.13804626,0.0
0.62377167,1.0
0.16682053,0.0
0.59910965,1.0
0.12845421,0.0
0.6467228,0.0
0.37051964,1.0
0.838089,0.0
0.43754196,1.0
0.38125038,1.0
0.6541462,0.0
0.1404438,0.0
0.49503326,1.0
0.024549484,0.0
0.16938782,0.0
0.5597744,1.0
0.35316467,1.0
0.98669815,0.0
0.35596085,1.0
0.6270256,1.0
0.57016563,1.0
0.34048843,1.0
0.39563942,1.0
0.4442234,1.0
0.96009254,0.0
0.99297714,0.0
0.83392334,0.0
0.5211792,1.0
0.6807499,0.0
0.6140671,1.0
0.3695469,1.0
0.49954224,1.0
0.25097084,1.0
0.16579056,0.0
0.55480766,1.0
0.59933853,1.0
0.27323532,1.0
0.5832939,1.0
0.89146996,0.0
0.8552189,0.0
0.43914223,1.0
0.09459877,0.0
0.15009117,0.0
0.8346653,0.0
0.3517933,1.0
0.6227455,1.0
0.786993,0.0
0.26769638,1.0
0.09631157,0.0
0.22162628,1.0
0.4874401,1.0
0.24069405,1.0
0.5992222,1.0
0.4207592,1.0
0.18971252,1.0
0.09842491,0.0
0.8812504,0.0
0.33135414,1.0
0.2671833,1.0
0.19787788,1.0
0.563427,1.0
0.8435707,0.0
0.9683132,0.0
0.9451351,0.0
0.5069065,1.0
0.714489,0.0
0.813427,0.0
0.7262497,0.0
0.021522522,0.0
0.19759178,1.0
0.9813881,0.0
0.047157288,0.0
0.04024887,0.0
0.229105,1.0
0.15163231,0.0
0.89460945,0.0
0.35110664,1.0
0.4756794,1.0
0.99354935,0.0
0.47350883,1.0
0.19656372,1.0
0.5532665,1.0
0.011932373,0.0
0.13347816,0.0
0.42914963,1.0
0.17509842,0.0
0.7742634,0.0
0.5043392,1.0
0.22322464,1.0
0.67087173,0.0
0.6214886,1.0
0.6824627,0.0
0.3101158,1.0
0.11046982,0.0
0.93719864,0.0
0.2680397,1.0
0.83911896,0.0
0.4676857,1.0
0.35247803,1.0
0.8051491,0.0
0.46414757,1.0
0.026376724,0.0
0.60830116,1.0
0.04304695,0.0
0.27340698,1.0
0.6353035,0.0
0.77763176,0.0
0.7277355,0.0
0.5283737,1.0
0.23578453,1.0
0.05994606,0.0
0.7915611,0.0
0.36058426,1.0
0.9943466,0.0
0.97585106,0.0
0.6309662,0.0
0.47408104,1.0
0.44713402,1.0
0.8029785,0.0
0.3178234,1.0
0.05189514,0.0
0.32107735,1.0
0.6493492,0.0
0.8667507,0.0
0.9690552,0.0
0.10516167,0.0
0.44290924,1.0
0.6665344,0.0
0.23532867,1.0
0.8490505,0.0
0.0686245,0.0
0.0063934326,0.0
0.90317345,0.0
0.09716797,0.0
0.2783184,1.0
0.47790718,1.0
0.44182587,1.0
0.055892944,0.0
0.30315208,1.0
0.7108364,0.0
0.695364,0.0
0.5050812,1.0
0.47173882,1.0
0.38627434,1.0
0.9397125,0.0
0.296587,1.0
0.82712746,0.0
0.08044052,0.0
0.56651115,1.0
0.6471214,0.0
0.9596348,0.0
0.193367,1.0
0.7177429,0.0
0.95786667,0.0
0.4313774,1.0
0.46551895,1.0
0.7960148,0.0
0.82735825,0.0
0.09220123,0.0
0.93805504,0.0
0.53585434,1.0
0.52477646,1.0
0.592371,1.0
0.3649788,1.0
0.9388561,0.0
0.13513374,0.0
0.62519836,1.0
0.22819138,1.0
0.98960876,0.0
0.21009254,1.0
0.28339767,1.0
0.8397465,0.0
0.8529339,0.0
0.9490738,0.0
0.23447227,1.0
0.66122437,0.0
0.27871704,1.0
0.012388229,0.0
0.49925613,1.0
0.40089035,1.0
0.3710327,1.0
0.26878357,1.0
0.72071075,0.0
0.75216866,0.0
0.30229568,1.0
0.80046844,0.0
0.21722984,1.0
0.97956085,0.0
0.4281807,1.0
0.53819466,1.0
0.57199097,1.0
0.64809227,0.0
0.32022095,1.0
0.8570442,0.0
0.98926544,0.0
0.04361725,0.0
0.4931488,1.0
0.33877563,1.0
0.77586174,0.0
0.8654938,0.0
0.57141876,1.0
0.51701164,1.0
0.6861725,0.0
0.9215565,0.0
0.6593971,0.0
0.16636276,0.0
0.1913681,1.0
0.13650322,0.0
0.44542122,1.0
0.57478905,1.0
0.96243477,0.0
0.6773796,0.0
0.092601776,0.0
0.06868172,0.0
0.6089287,1.0
0.3209076,1.0
0.7768326,0.0
0.14146996,0.0
0.88490486,0.0
0.8532753,0.0
0.5389919,1.0
0.56788063,1.0
0.98332787,0.0
0.69176674,0.0
0.6815491,0.0
0.79738426,0.0
0.18828583,1.0
0.06434059,0.0
0.7091789,0.0
0.98155785,0.0
0.6272564,1.0
0.65203285,0.0
0.5851803,1.0
0.09534073,0.0
0.50302696,1.0
0.2849388,1.0
0.57707214,1.0
0.07398987,0.0
0.41242218,1.0
0.22259712,1.0
0.32279015,1.0
0.28436852,1.0
0.67463875,0.0
0.18914032,1.0
0.027402878,0.0
0.09117508,0.0
0.64689445,0.0
0.74668884,0.0
0.3281002,1.0
0.5723915,1.0
0.14204025,0.0
0.81274223,0.0
0.3870182,1.0
0.9019737,0.0
0.71494675,0.0
0.72556496,0.0
0.036994934,0.0
0.47299576,1.0
0.20632553,1.0
0.9571247,0.0
0.29852676,1.0
0.0832386,0.0
0.8984337,0.0
0.7685547,0.0
0.98584175,0.0
0.7134609,0.0
0.56708145,1.0
0.2874527,1.0
0.050468445,0.0
0.031057358,0.0
0.98041725,0.0
0.034654617,0.0
0.9779625,0.0
0.5345974,1.0
0.61024094,1.0
0.7954998,0.0
0.943079,0.0
0.5320835,1.0
0.75901985,0.0
0.66915894,0.0
0.042362213,0.0
0.63912964,0.0
0.11292648,0.0
0.9144783,0.0
0.5337982,1.0
0.12245941,0.0
0.5977955,1.0
0.8819351,0.0
0.25291252,1.0
0.71180725,0.0
0.36880684,1.0
0.13056564,0.0
0.040821075,0.0
0.8334656,0.0
0.8068619,0.0
0.22351074,1.0
0.8361492,0.0
0.9302349,0.0
0.19439316,1.0
0.029172897,0.0
0.8581848,0.0
0.73184586,0.0
0.9110527,0.0
0.68091965,0.0
0.45238686,1.0
0.047956467,0.0
0.9394264,0.0
0.92064285,0.0
0.76649857,0.0
0.90979576,0.0
0.42155647,1.0
0.46488953,1.0
0.7104931,0.0
0.27637482,1.0
0.81497,0.0
0.06525421,0.0
0.19776154,1.0
0.594656,1.0
0.21289062,1.0
0.37280273,1.0
0.10287857,0.0
0.27157974,1.0
0.6918812,0.0
0.33746338,1.0
0.0303154,0.0
0.087976456,0.0
0.8032074,0.0
0.9301777,0.0
0.10961342,0.0
0.15722847,0.0
0.9625492,0.0
0.99075127,0.0
0.9119663,0.0
0.53625107,1.0
0.44884682,1.0
0.45906448,1.0
0.43411827,1.0
0.5009136,1.0
0.13776016,0.0
0.6001358,1.0
0.92401123,0.0
0.2353859,1.0
0.6930237,0.0
0.54932594,1.0
0.9926357,0.0
0.07610321,0.0
0.90089035,0.0
0.16424942,0.0
0.5369377,1.0
0.8749714,0.0
0.06154442,0.0
0.4313202,1.0
0.45821,1.0
0.4141922,1.0
0.5099907,1.0
0.5650253,1.0
0.06759453,0.0
0.99217796,0.0
0.82227707,0.0
0.1747551,0.0
0.22037125,1.0
0.39027214,1.0
0.549839,1.0
0.423954,1.0
0.31582642,1.0
0.92543983,0.0
0.5097618,1.0
0.62485695,1.0
0.31200027,1.0
0.22151184,1.0
0.367836,1.0
0.12451553,0.0
0.60322,1.0
0.7179146,0.0
0.51501465,1.0
0.5483551,1.0
0.74240685,0.0
0.8235321,0.0
0.95495415,0.0
0.48093033,1.0
0.4865837,1.0
0.327528,1.0
0.7855091,0.0
0.3283844,1.0
0.5953407,1.0
0.21094894,1.0
0.47859,1.0
0.5808964,1.0
0.9462776,0.0
0.6559715,0.0
0.32216263,1.0
0.7679844,0.0
0.6101837,1.0
0.90540123,0.0
0.010620117,0.0
0.049325943,0.0
0.40608406,1.0
0.9116802,0.0
0.23195839,1.0
0.30937576,1.0
0.50753593,1.0
0.7174568,0.0
0.69576454,0.0
0.08083916,0.0
0.95381355,0.0
0.71899986,0.0
0.35322,1.0
0.12354469,0.0
0.75296783,0.0
0.33192444,1.0
0.60995674,1.0
0.7846527,0.0
0.7803726,0.0
0.64084244,0.0
0.6375885,0.0
0.9264107,0.0
0.81359863,0.0
0.09106064,0.0
0.29818344,1.0
0.47493744,1.0
0.5305443,1.0
0.39318275,1.0
0.27249336,1.0
0.49474907,1.0
0.052639008,0.0
0.32347488,1.0
0.2845955,1.0
0.49326324,1.0
0.12594223,0.0
0.781456,0.0
0.5091915,1.0
0.5914593,1.0
0.5497265,1.0
0.14027023,0.0
0.35978508,1.0
0.8394604,0.0
0.50959015,1.0
0.37405777,1.0
0.13313675,0.0
0.74155045,0.0
0.85967064,0.0
0.16550636,0.0
0.78985023,0.0
0.974823,0.0
0.5674248,1.0
0.55280876,1.0
0.14575195,0.0
0.8210201,0.0
0.82050705,0.0
0.09511185,0.0
0.6973057,0.0
0.2191143,1.0
0.14746475,0.0
0.33398056,1.0
0.8069191,0.0
0.041391373,0.0
0.41819,1.0
0.5829525,1.0
0.8352928,0.0
0.26752663,1.0
0.17943573,1.0
0.9865818,0.0
0.76415634,0.0
0.48675537,1.0
0.7334423,0.0
0.20141602,1.0
0.102306366,0.0
0.8295269,0.0
0.24526024,1.0
0.7294464,0.0
0.45387077,1.0
0.70010185,0.0
0.5472126,1.0
0.8326092,0.0
0.5171852,1.0
0.2877941,1.0
0.12382889,0.0
0.629652,0.0
0.18702888,1.0
0.13324928,0.0
0.10053635,0.0
0.95095825,0.0
0.9823017,0.0
0.1681881,0.0
0.39004326,1.0
0.47305298,1.0
0.7977276,0.0
0.5495548,1.0
0.54938316,1.0
0.39021492,1.0
0.5920868,1.0
0.5777569,1.0
0.73561287,0.0
0.9192734,0.0
0.36537933,1.0
0.6784096,0.0
0.38427734,1.0
0.89512444,0.0
0.89997673,0.0
0.7735214,0.0
0.3120594,1.0
0.8092594,0.0
0.09288788,0.0
0.6144104,1.0
0.8253021,0.0
0.60196304,1.0
0.9047146,0.0
0.13022232,0.0
0.6518612,0.0
0.38581848,1.0
0.2760334,1.0
0.055950165,0.0
0.21808624,1.0
0.97579384,0.0
0.49069405,1.0
0.78967667,0.0
0.42298317,1.0
0.05817604,0.0
0.1687603,0.0
0.43154716,1.0
0.942852,0.0
0.1925106,1.0
0.13707352,0.0
0.92355347,0.0
0.5300865,1.0
0.17298508,0.0
0.7834549,0.0
0.36503792,1.0
0.11852074,0.0
0.05423546,0.0
0.25673676,1.0
0.6868572,0.0
0.17081451,0.0
0.49411964,1.0
0.35430527,1.0
0.11806488,0.0
0.50325394,1.0
0.45512772,1.0
0.85259056,0.0
0.34859657,1.0
0.018384933,0.0
