UNIX_TS,CWE,HPE,WOE,CDE,FGE,Hour,Weekday,DWE
0.021009445,0.0,0.0,0.0,0.0,1.0,0.39130434,0.0,0.0
0.7042694,0.0,0.0,0.0,0.0,0.0,0.04347826,0.33333334,0.0
0.9408531,1.0,0.0,0.0,1.0,1.0,0.73913044,1.0,0.0
0.5671959,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.8980942,0.0,0.0,0.0,0.0,0.0,0.5217391,0.5,0.0
0.06582451,0.0,0.0,0.0,0.0,0.0,0.08695652,0.8333334,0.0
0.5073643,0.0,0.0,0.0,0.0,1.0,0.3478261,0.8333334,0.0
0.7216244,0.0,0.0,0.0,0.0,0.0,0.73913044,0.0,0.0
0.2462902,0.0,0.0,0.0,0.0,1.0,0.826087,0.5,0.0
0.3689766,0.0,0.0,0.0,0.0,1.0,0.3478261,0.33333334,0.0
0.39712334,0.0,0.0,0.0,0.0,0.0,0.9130435,0.16666667,0.0
0.78824997,0.0,0.0,0.0,0.0,0.0,0.3478261,0.0,1.0
0.11492348,0.0,0.0,0.0,0.0,1.0,0.95652175,0.8333334,0.0
0.14934921,0.0,0.0,0.0,0.0,0.0,0.04347826,0.5,0.0
0.99212265,0.0,1.0,0.0,0.0,0.0,0.13043478,0.33333334,0.0
0.5960827,0.0,0.0,0.0,0.0,1.0,0.08695652,0.0,0.0
0.54533005,0.0,0.0,0.0,0.0,0.0,0.04347826,0.8333334,0.0
0.95147324,0.0,0.0,0.0,0.0,0.0,0.47826087,0.0,0.0
0.6166935,0.0,0.0,0.0,0.0,1.0,0.13043478,0.16666667,0.0
0.010560989,0.0,0.0,0.0,0.0,1.0,0.7826087,1.0,0.0
0.27683258,0.0,0.0,0.0,0.0,0.0,0.08695652,0.8333334,0.0
0.7256794,0.0,0.0,0.0,0.0,0.0,0.6956522,0.5,0.0
0.5589733,0.0,0.0,0.0,0.0,0.0,0.0,0.16666667,0.0
0.6747551,0.0,0.0,0.0,0.0,0.0,0.5217391,0.16666667,0.0
0.9765911,0.0,0.0,0.0,0.0,1.0,0.826087,0.6666667,0.0
0.47385216,0.0,0.0,0.0,0.0,0.0,0.9130435,0.16666667,1.0
0.28465462,0.0,0.0,0.0,0.0,0.0,0.826087,0.5,0.0
0.31051636,0.0,0.0,0.0,0.0,0.0,0.6956522,0.16666667,0.0
0.718771,1.0,0.0,0.0,0.0,0.0,0.65217394,0.8333334,1.0
0.4605503,0.0,0.0,0.0,0.0,1.0,0.17391305,1.0,0.0
0.49451828,0.0,0.0,0.0,0.0,1.0,1.0,0.33333334,0.0
0.6115551,0.0,0.0,0.0,0.0,1.0,0.39130434,0.6666667,0.0
0.03385353,0.0,0.0,0.0,0.0,0.0,0.7826087,0.33333334,0.0
0.29789925,0.0,0.0,0.0,0.0,0.0,0.47826087,1.0,0.0
0.6295395,0.0,0.0,0.0,0.0,1.0,0.5217391,0.5,0.0
0.32073593,0.0,0.0,0.0,0.0,0.0,0.13043478,0.33333334,0.0
0.058746338,0.0,0.0,0.0,0.0,0.0,0.95652175,1.0,0.0
0.44319534,0.0,0.0,0.0,0.0,0.0,0.5217391,0.0,0.0
0.22413826,0.0,0.0,0.0,0.0,0.0,0.65217394,0.16666667,0.0
0.7557087,0.0,0.0,0.0,0.0,0.0,0.6086957,0.6666667,0.0
0.46129227,0.0,0.0,0.0,0.0,0.0,0.73913044,1.0,0.0
0.030773163,0.0,0.0,0.0,0.0,0.0,0.5217391,0.0,1.0
0.79047585,0.0,0.0,0.0,0.0,1.0,1.0,0.16666667,0.0
0.2600479,0.0,0.0,0.0,0.0,0.0,0.86956525,1.0,0.0
0.7688408,0.0,0.0,0.0,0.0,0.0,0.17391305,0.0,0.0
0.6333065,0.0,0.0,0.0,0.0,0.0,0.26086956,1.0,0.0
0.67629623,0.0,0.0,0.0,0.0,1.0,0.65217394,0.33333334,0.0
0.43777084,0.0,0.0,0.0,0.0,1.0,0.5652174,0.5,0.0
0.34882355,0.0,0.0,0.0,0.0,1.0,0.65217394,0.16666667,0.0
0.13193703,0.0,0.0,0.0,0.0,0.0,0.3478261,0.6666667,0.0
0.8223343,0.0,0.0,0.0,0.0,0.0,0.21739131,0.6666667,0.0
0.4579239,0.0,0.0,0.0,0.0,0.0,0.26086956,0.6666667,0.0
0.7582207,0.0,0.0,0.0,0.0,1.0,0.43478262,1.0,0.0
0.33141136,1.0,0.0,0.0,0.0,1.0,0.95652175,0.33333334,0.0
0.19730568,0.0,0.0,0.0,0.0,0.0,0.04347826,0.5,0.0
0.5781574,0.0,0.0,0.0,0.0,0.0,0.0,0.16666667,0.0
0.31759644,0.0,0.0,0.0,0.0,1.0,0.86956525,1.0,1.0
0.40682793,0.0,0.0,0.0,0.0,0.0,1.0,0.16666667,0.0
0.6613941,0.0,0.0,0.0,0.0,0.0,0.7826087,0.8333334,0.0
0.36703682,0.0,0.0,0.0,0.0,1.0,0.95652175,0.0,0.0
0.5569191,0.0,0.0,0.0,0.0,0.0,0.5217391,1.0,0.0
0.23766899,0.0,0.0,0.0,0.0,0.0,0.5217391,0.6666667,0.0
0.10082245,0.0,0.0,0.0,0.0,0.0,0.65217394,0.33333334,0.0
0.4817314,0.0,0.0,0.0,0.0,1.0,0.65217394,0.0,0.0
0.3387184,0.0,0.0,0.0,0.0,0.0,0.26086956,0.16666667,0.0
0.33654976,0.0,0.0,0.0,1.0,0.0,0.6956522,1.0,0.0
0.8004112,0.0,0.0,0.0,0.0,1.0,0.21739131,0.33333334,0.0
0.026603699,0.0,0.0,0.0,0.0,0.0,0.47826087,0.6666667,0.0
0.68754387,0.0,0.0,0.0,0.0,1.0,0.86956525,0.5,1.0
0.068395615,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
0.24035263,0.0,0.0,0.0,0.0,0.0,0.47826087,1.0,0.0
0.3138256,0.0,0.0,0.0,0.0,0.0,0.08695652,0.6666667,0.0
0.33963203,0.0,0.0,0.0,0.0,0.0,0.95652175,0.16666667,0.0
0.7336731,0.0,0.0,0.0,0.0,0.0,0.5217391,0.33333334,0.0
0.9112816,0.0,0.0,0.0,0.0,0.0,0.13043478,1.0,0.0
0.48704147,1.0,0.0,0.0,0.0,1.0,0.5217391,0.6666667,0.0
0.48498535,0.0,0.0,0.0,0.0,1.0,0.0,0.5,0.0
0.14455414,0.0,0.0,0.0,0.0,1.0,0.5652174,1.0,0.0
0.9317188,0.0,0.0,0.0,0.0,1.0,0.04347826,0.0,0.0
0.48492813,0.0,0.0,0.0,0.0,0.0,1.0,0.33333334,0.0
0.22859192,0.0,0.0,0.0,0.0,1.0,0.9130435,0.6666667,0.0
0.47373962,0.0,0.0,0.0,0.0,1.0,0.826087,0.16666667,1.0
0.91601944,0.0,0.0,0.0,0.0,0.0,0.6086957,0.33333334,0.0
0.8816509,1.0,0.0,0.0,0.0,0.0,0.5217391,0.8333334,0.0
0.11532402,0.0,0.0,0.0,0.0,1.0,0.21739131,1.0,0.0
0.29590034,0.0,1.0,0.0,0.0,0.0,0.0,0.8333334,0.0
0.8455696,0.0,0.0,0.0,0.0,0.0,0.17391305,0.0,0.0
0.27808762,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0.84859467,0.0,0.0,0.0,0.0,1.0,0.39130434,0.33333334,0.0
0.60025215,0.0,0.0,0.0,0.0,0.0,0.13043478,0.5,0.0
0.23475647,0.0,0.0,0.0,0.0,0.0,0.39130434,0.33333334,0.0
