UNIX_TS,DWE,FRE,HPE,WOE,CDE,EBE,FGE,HTE,TVE,Hour,Weekday,Month,Season,CWE
0.75829124,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.47826087,1.0,0.8181819,0.6666667,0.0
0.5241184,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.5652174,0.5,0.27272728,0.33333334,0.0
0.9765911,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.826087,0.6666667,0.18181819,0.0,0.0
0.021007538,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.3478261,0.0,0.27272728,0.33333334,0.0
0.6812229,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.21739131,1.0,0.6363636,0.6666667,0.0
0.3059864,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.3478261,0.8333334,0.9090909,0.6666667,0.0
0.5672188,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.36363637,0.33333334,0.0
0.27053642,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.47826087,0.0,0.8181819,0.6666667,0.0
0.065820694,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.04347826,0.8333334,0.36363637,0.33333334,0.0
0.38921928,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.08695652,0.5,0.0,0.0,0.0
0.5222912,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.21739131,0.33333334,0.27272728,0.33333334,0.0
0.24627304,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.7826087,0.5,0.72727275,0.6666667,0.0
0.78295326,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.47826087,0.5,0.8181819,0.6666667,0.0
0.3972702,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.16666667,0.0,0.0,0.0
0.78837585,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.43478262,0.0,0.8181819,0.6666667,0.0
0.11491585,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.9130435,0.8333334,0.45454547,0.33333334,0.0
0.14933968,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5,0.5454545,0.33333334,0.0
0.7530956,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.6956522,0.33333334,0.8181819,0.6666667,0.0
0.76828,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.7826087,1.0,0.8181819,0.6666667,0.0
0.54535484,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.04347826,0.8333334,0.36363637,0.33333334,0.0
