UNIX_TS,EBE,FGE,Weekday,Month,Season,HTE
0.5241184,1.0,1.0,0.5,0.27272728,0.33333334,1.0
0.9765911,0.0,1.0,0.6666667,0.18181819,0.0,1.0
0.021007538,0.0,0.0,0.0,0.27272728,0.33333334,1.0
0.6812229,0.0,1.0,1.0,0.6363636,0.6666667,1.0
0.3059864,1.0,0.0,0.8333334,0.9090909,0.6666667,1.0
0.5672188,1.0,0.0,0.0,0.36363637,0.33333334,1.0
0.27053642,1.0,1.0,0.0,0.8181819,0.6666667,1.0
0.065820694,0.0,1.0,0.8333334,0.36363637,0.33333334,1.0
0.38921928,1.0,1.0,0.5,0.0,0.0,1.0
0.5222912,1.0,0.0,0.33333334,0.27272728,0.33333334,1.0
0.24627304,1.0,0.0,0.5,0.72727275,0.6666667,1.0
0.78295326,0.0,1.0,0.5,0.8181819,0.6666667,1.0
0.3972702,1.0,0.0,0.16666667,0.0,0.0,1.0
0.78837585,0.0,0.0,0.0,0.8181819,0.6666667,1.0
0.11491585,0.0,0.0,0.8333334,0.45454547,0.33333334,0.0
0.14933968,0.0,0.0,0.5,0.5454545,0.33333334,1.0
0.7530956,0.0,0.0,0.33333334,0.8181819,0.6666667,1.0
0.76828,0.0,1.0,1.0,0.8181819,0.6666667,1.0
0.54535484,1.0,0.0,0.8333334,0.36363637,0.33333334,1.0
0.5889702,1.0,0.0,0.16666667,0.45454547,0.33333334,1.0
0.6167717,1.0,0.0,0.16666667,0.45454547,0.33333334,1.0
0.010559082,0.0,0.0,1.0,0.27272728,0.33333334,1.0
0.27698708,1.0,0.0,0.8333334,0.8181819,0.6666667,1.0
0.61979675,1.0,1.0,0.5,0.45454547,0.33333334,1.0
0.5589981,1.0,0.0,0.16666667,0.36363637,0.33333334,1.0
0.28720665,1.0,1.0,0.8333334,0.8181819,0.6666667,1.0
0.40686035,1.0,0.0,0.16666667,0.0,0.0,1.0
0.77490425,0.0,0.0,0.6666667,0.8181819,0.6666667,1.0
0.7447052,0.0,1.0,0.5,0.72727275,0.6666667,1.0
0.31066895,1.0,0.0,0.16666667,0.9090909,0.6666667,1.0
0.8947296,0.0,1.0,0.16666667,0.0,0.0,1.0
0.79437065,0.0,0.0,0.6666667,0.9090909,0.6666667,1.0
0.97208405,0.0,0.0,0.16666667,0.18181819,0.0,1.0
0.6116333,1.0,0.0,0.6666667,0.45454547,0.33333334,1.0
0.033851624,0.0,0.0,0.33333334,0.27272728,0.33333334,1.0
0.26037407,1.0,1.0,0.0,0.8181819,0.6666667,1.0
0.4078884,1.0,1.0,0.33333334,0.0,0.0,1.0
0.32088852,1.0,0.0,0.33333334,0.9090909,0.6666667,1.0
0.058742523,0.0,1.0,1.0,0.36363637,0.33333334,1.0
0.51669884,1.0,0.0,0.8333334,0.27272728,0.33333334,1.0
0.22412491,1.0,0.0,0.16666667,0.72727275,0.6666667,1.0
0.77381897,0.0,0.0,0.5,0.8181819,0.6666667,1.0
0.55368996,1.0,0.0,0.6666667,0.36363637,0.33333334,1.0
0.030771255,0.0,0.0,0.0,0.27272728,0.33333334,1.0
0.48952293,1.0,1.0,1.0,0.18181819,0.0,1.0
0.36513138,1.0,0.0,1.0,1.0,1.0,1.0
0.3540535,1.0,1.0,0.8333334,1.0,1.0,1.0
0.70360184,0.0,1.0,0.16666667,0.6363636,0.6666667,1.0
0.6763706,0.0,0.0,0.33333334,0.6363636,0.6666667,1.0
0.36769867,1.0,1.0,0.16666667,1.0,1.0,1.0
0.82930756,0.0,0.0,0.33333334,0.9090909,0.6666667,1.0
0.13192749,0.0,0.0,0.6666667,0.5454545,0.33333334,1.0
0.4127407,1.0,0.0,1.0,0.0,0.0,1.0
0.32357216,1.0,0.0,0.6666667,0.9090909,0.6666667,1.0
0.7936287,0.0,0.0,0.6666667,0.9090909,0.6666667,1.0
0.648798,0.0,0.0,0.5,0.5454545,0.33333334,1.0
0.19729233,1.0,0.0,0.5,0.6363636,0.6666667,1.0
0.29730988,1.0,0.0,1.0,0.9090909,0.6666667,1.0
0.32585526,1.0,0.0,0.8333334,0.9090909,0.6666667,1.0
0.9126549,0.0,1.0,0.0,0.0,0.0,1.0
0.63013077,0.0,1.0,0.5,0.5454545,0.33333334,1.0
0.3671856,1.0,0.0,0.16666667,1.0,1.0,1.0
0.31363678,1.0,0.0,0.5,0.9090909,0.6666667,1.0
0.23765564,1.0,0.0,0.6666667,0.72727275,0.6666667,1.0
0.10081673,0.0,0.0,0.33333334,0.45454547,0.33333334,1.0
0.8267975,0.0,1.0,0.0,0.9090909,0.6666667,1.0
0.6546211,0.0,0.0,0.0,0.5454545,0.33333334,1.0
0.8013916,0.0,0.0,0.33333334,0.9090909,0.6666667,1.0
0.8005352,0.0,1.0,0.33333334,0.9090909,0.6666667,1.0
0.026601791,0.0,1.0,0.6666667,0.27272728,0.33333334,1.0
0.6494255,0.0,1.0,0.6666667,0.5454545,0.33333334,1.0
0.06838989,0.0,0.0,1.0,0.36363637,0.33333334,1.0
0.24033546,1.0,0.0,1.0,0.72727275,0.6666667,1.0
0.41827774,1.0,0.0,0.5,0.0,0.0,1.0
0.41770744,1.0,0.0,0.33333334,0.0,0.0,1.0
0.9777336,0.0,0.0,0.8333334,0.18181819,0.0,1.0
0.82868004,0.0,1.0,0.16666667,0.9090909,0.6666667,1.0
0.5916538,1.0,0.0,0.5,0.45454547,0.33333334,1.0
0.48501396,1.0,1.0,0.5,0.18181819,0.0,1.0
0.1445446,0.0,0.0,1.0,0.5454545,0.33333334,1.0
0.7876911,0.0,1.0,1.0,0.8181819,0.6666667,1.0
0.30381775,1.0,0.0,0.5,0.9090909,0.6666667,1.0
0.22857857,1.0,0.0,0.6666667,0.72727275,0.6666667,1.0
0.57452583,1.0,0.0,0.8333334,0.36363637,0.33333334,1.0
0.7639427,0.0,1.0,0.5,0.8181819,0.6666667,1.0
0.39002037,1.0,0.0,0.5,0.0,0.0,1.0
0.11531639,0.0,0.0,1.0,0.45454547,0.33333334,0.0
0.54541206,1.0,1.0,0.8333334,0.36363637,0.33333334,1.0
0.99132156,0.0,1.0,0.16666667,0.18181819,0.0,1.0
0.96780014,0.0,1.0,0.8333334,0.18181819,0.0,1.0
0.54792404,1.0,1.0,1.0,0.36363637,0.33333334,1.0
0.90854645,0.0,1.0,0.6666667,0.0,0.0,1.0
0.23474312,1.0,1.0,0.33333334,0.72727275,0.6666667,1.0
0.7533245,0.0,1.0,0.33333334,0.8181819,0.6666667,1.0
0.11108971,0.0,0.0,0.5,0.45454547,0.33333334,1.0
0.82696724,0.0,0.0,0.0,0.9090909,0.6666667,1.0
0.41884804,1.0,1.0,0.5,0.0,0.0,1.0
0.14677238,0.0,0.0,0.16666667,0.5454545,0.33333334,1.0
0.82759476,0.0,0.0,0.16666667,0.9090909,0.6666667,1.0
0.7473316,0.0,1.0,0.8333334,0.72727275,0.6666667,1.0
0.63092995,0.0,1.0,0.6666667,0.5454545,0.33333334,1.0
0.9631195,0.0,1.0,0.16666667,0.18181819,0.0,1.0
0.38682365,1.0,1.0,0.16666667,0.0,0.0,1.0
0.38185692,1.0,1.0,0.6666667,0.0,0.0,1.0
0.9344616,0.0,0.0,0.33333334,0.09090909,0.0,1.0
0.25438118,1.0,0.0,0.33333334,0.8181819,0.6666667,1.0
0.881258,0.0,0.0,0.8333334,0.0,0.0,1.0
0.1874752,1.0,0.0,0.33333334,0.6363636,0.6666667,1.0
0.8914757,0.0,1.0,0.8333334,0.0,0.0,1.0
0.37369156,1.0,0.0,0.8333334,1.0,1.0,1.0
0.36684227,1.0,0.0,0.0,1.0,1.0,1.0
0.5595112,1.0,0.0,0.16666667,0.36363637,0.33333334,1.0
0.34560585,1.0,1.0,1.0,1.0,1.0,1.0
0.5370197,1.0,0.0,0.8333334,0.27272728,0.33333334,1.0
0.3045044,1.0,0.0,0.6666667,0.9090909,0.6666667,1.0
0.9102001,0.0,1.0,0.8333334,0.0,0.0,1.0
0.14003563,0.0,0.0,0.5,0.5454545,0.33333334,1.0
0.07067299,0.0,0.0,0.16666667,0.36363637,0.33333334,1.0
0.9782486,0.0,0.0,1.0,0.18181819,0.0,1.0
0.11765671,0.0,1.0,0.0,0.45454547,0.33333334,1.0
0.41405487,1.0,0.0,0.0,0.0,0.0,1.0
0.18884468,1.0,0.0,0.5,0.6363636,0.6666667,1.0
0.78717804,0.0,1.0,1.0,0.8181819,0.6666667,1.0
0.69423866,0.0,0.0,0.16666667,0.6363636,0.6666667,1.0
0.007648468,0.0,0.0,0.6666667,0.27272728,0.33333334,1.0
0.7226105,0.0,0.0,0.16666667,0.72727275,0.6666667,1.0
0.590683,1.0,0.0,0.5,0.45454547,0.33333334,1.0
0.023347855,0.0,0.0,0.33333334,0.27272728,0.33333334,1.0
0.41222763,1.0,0.0,0.8333334,0.0,0.0,1.0
0.9513588,0.0,0.0,0.0,0.09090909,0.0,1.0
0.698122,0.0,0.0,0.6666667,0.6363636,0.6666667,1.0
0.117544174,0.0,0.0,0.0,0.45454547,0.33333334,1.0
0.6185417,1.0,0.0,0.33333334,0.45454547,0.33333334,1.0
0.35017395,1.0,1.0,0.33333334,1.0,1.0,1.0
0.9309807,0.0,1.0,1.0,0.09090909,0.0,1.0
0.15784645,0.0,0.0,0.33333334,0.5454545,0.33333334,1.0
0.96785736,0.0,0.0,0.8333334,0.18181819,0.0,1.0
0.6509094,0.0,0.0,0.8333334,0.5454545,0.33333334,1.0
0.9019222,0.0,1.0,1.0,0.0,0.0,1.0
0.1265049,0.0,1.0,0.0,0.5454545,0.33333334,1.0
0.17388725,0.0,0.0,1.0,0.6363636,0.6666667,1.0
0.714962,0.0,0.0,0.33333334,0.72727275,0.6666667,1.0
0.084661484,0.0,1.0,0.6666667,0.45454547,0.33333334,1.0
0.68841743,0.0,0.0,0.6666667,0.6363636,0.6666667,1.0
0.54769516,1.0,0.0,1.0,0.36363637,0.33333334,1.0
