CWE,DWE,FRE,HTE,Hour,Weekday,Season,CDE
0.0,0.0,1.0,1.0,0.5652174,0.5,0.33333334,0.0
0.0,0.0,1.0,1.0,0.826087,0.6666667,0.0,0.0
0.0,0.0,1.0,1.0,0.3478261,0.0,0.33333334,0.0
0.0,0.0,1.0,1.0,0.21739131,1.0,0.6666667,0.0
0.0,0.0,1.0,1.0,0.3478261,0.8333334,0.6666667,0.0
0.0,0.0,1.0,1.0,0.0,0.0,0.33333334,0.0
0.0,0.0,1.0,1.0,0.47826087,0.0,0.6666667,0.0
0.0,0.0,1.0,1.0,0.04347826,0.8333334,0.33333334,0.0
0.0,0.0,1.0,1.0,0.08695652,0.5,0.0,0.0
0.0,0.0,1.0,1.0,0.21739131,0.33333334,0.33333334,0.0
0.0,0.0,1.0,1.0,0.7826087,0.5,0.6666667,0.0
0.0,0.0,1.0,1.0,0.47826087,0.5,0.6666667,0.0
0.0,0.0,1.0,1.0,1.0,0.16666667,0.0,0.0
0.0,1.0,1.0,1.0,0.43478262,0.0,0.6666667,0.0
0.0,0.0,1.0,0.0,0.9130435,0.8333334,0.33333334,0.0
0.0,0.0,1.0,1.0,0.0,0.5,0.33333334,0.0
0.0,0.0,1.0,1.0,0.6956522,0.33333334,0.6666667,0.0
0.0,0.0,1.0,1.0,0.7826087,1.0,0.6666667,0.0
0.0,0.0,1.0,1.0,0.04347826,0.8333334,0.33333334,0.0
0.0,0.0,1.0,1.0,0.9130435,0.16666667,0.33333334,0.0
0.0,0.0,1.0,1.0,0.17391305,0.16666667,0.33333334,0.0
0.0,0.0,1.0,1.0,0.73913044,1.0,0.33333334,0.0
0.0,0.0,1.0,1.0,0.17391305,0.8333334,0.6666667,0.0
0.0,1.0,1.0,1.0,0.39130434,0.5,0.33333334,0.0
0.0,0.0,1.0,1.0,0.0,0.16666667,0.33333334,0.0
0.0,0.0,1.0,1.0,0.65217394,0.8333334,0.6666667,0.0
0.0,0.0,1.0,1.0,1.0,0.16666667,0.0,0.0
0.0,0.0,1.0,1.0,0.6086957,0.6666667,0.6666667,0.0
0.0,1.0,1.0,1.0,0.5652174,0.5,0.6666667,0.0
0.0,0.0,1.0,1.0,0.7826087,0.16666667,0.6666667,0.0
0.0,0.0,1.0,1.0,0.04347826,0.16666667,0.0,0.0
0.0,0.0,1.0,1.0,0.826087,0.6666667,0.6666667,0.0
0.0,0.0,1.0,1.0,0.5217391,0.16666667,0.0,1.0
0.0,1.0,1.0,1.0,0.43478262,0.6666667,0.33333334,0.0
0.0,0.0,1.0,1.0,0.73913044,0.33333334,0.33333334,0.0
0.0,0.0,1.0,1.0,0.04347826,0.0,0.6666667,0.0
0.0,0.0,1.0,1.0,0.73913044,0.33333334,0.0,0.0
