UNIX_TS,FRE,HPE,HTE,Weekday,Month,Season,WOE
0.5241184,1.0,1.0,1.0,0.5,0.27272728,0.33333334,0.0
0.9765911,1.0,0.0,1.0,0.6666667,0.18181819,0.0,1.0
0.021007538,1.0,0.0,1.0,0.0,0.27272728,0.33333334,0.0
0.6812229,1.0,0.0,1.0,1.0,0.6363636,0.6666667,0.0
0.3059864,1.0,0.0,1.0,0.8333334,0.9090909,0.6666667,1.0
0.5672188,1.0,0.0,1.0,0.0,0.36363637,0.33333334,0.0
0.27053642,1.0,0.0,1.0,0.0,0.8181819,0.6666667,1.0
0.065820694,1.0,0.0,1.0,0.8333334,0.36363637,0.33333334,1.0
0.38921928,1.0,0.0,1.0,0.5,0.0,0.0,0.0
0.5222912,1.0,0.0,1.0,0.33333334,0.27272728,0.33333334,0.0
0.24627304,1.0,0.0,1.0,0.5,0.72727275,0.6666667,1.0
0.78295326,1.0,0.0,1.0,0.5,0.8181819,0.6666667,1.0
0.3972702,1.0,0.0,1.0,0.16666667,0.0,0.0,1.0
0.78837585,1.0,0.0,1.0,0.0,0.8181819,0.6666667,0.0
0.11491585,1.0,0.0,0.0,0.8333334,0.45454547,0.33333334,1.0
0.14933968,1.0,0.0,1.0,0.5,0.5454545,0.33333334,0.0
0.7530956,1.0,0.0,1.0,0.33333334,0.8181819,0.6666667,1.0
0.76828,1.0,0.0,1.0,1.0,0.8181819,0.6666667,0.0
0.54535484,1.0,0.0,1.0,0.8333334,0.36363637,0.33333334,0.0
0.5889702,1.0,0.0,1.0,0.16666667,0.45454547,0.33333334,0.0
0.6167717,1.0,0.0,1.0,0.16666667,0.45454547,0.33333334,0.0
0.010559082,1.0,0.0,1.0,1.0,0.27272728,0.33333334,1.0
0.27698708,1.0,0.0,1.0,0.8333334,0.8181819,0.6666667,1.0
0.61979675,1.0,0.0,1.0,0.5,0.45454547,0.33333334,0.0
0.5589981,1.0,0.0,1.0,0.16666667,0.36363637,0.33333334,0.0
0.28720665,1.0,0.0,1.0,0.8333334,0.8181819,0.6666667,1.0
0.40686035,1.0,0.0,1.0,0.16666667,0.0,0.0,0.0
0.77490425,1.0,0.0,1.0,0.6666667,0.8181819,0.6666667,0.0
0.7447052,1.0,0.0,1.0,0.5,0.72727275,0.6666667,1.0
0.31066895,1.0,0.0,1.0,0.16666667,0.9090909,0.6666667,1.0
0.8947296,1.0,0.0,1.0,0.16666667,0.0,0.0,0.0
0.79437065,1.0,0.0,1.0,0.6666667,0.9090909,0.6666667,1.0
0.97208405,1.0,0.0,1.0,0.16666667,0.18181819,0.0,0.0
0.6116333,1.0,0.0,1.0,0.6666667,0.45454547,0.33333334,1.0
0.033851624,1.0,0.0,1.0,0.33333334,0.27272728,0.33333334,1.0
0.26037407,1.0,0.0,1.0,0.0,0.8181819,0.6666667,1.0
0.4078884,1.0,0.0,1.0,0.33333334,0.0,0.0,1.0
0.32088852,1.0,0.0,1.0,0.33333334,0.9090909,0.6666667,1.0
0.058742523,1.0,0.0,1.0,1.0,0.36363637,0.33333334,1.0
0.51669884,1.0,0.0,1.0,0.8333334,0.27272728,0.33333334,1.0
0.22412491,1.0,0.0,1.0,0.16666667,0.72727275,0.6666667,0.0
0.77381897,1.0,0.0,1.0,0.5,0.8181819,0.6666667,1.0
0.55368996,1.0,0.0,1.0,0.6666667,0.36363637,0.33333334,1.0
